City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Vestmannaeyjar,63.4427,-20.2734,45.59,81,75,21.85,IS,2021-06-13 17:48:09
Manokwari,-0.8667,134.0833,78.19,76,72,1.36,ID,2021-06-13 17:46:26
Xining,36.6167,101.7667,51.64,84,100,3.29,CN,2021-06-13 17:45:41
Sept-Îles,50.2001,-66.3821,58.05,53,40,5.99,CA,2021-06-13 17:48:10
Te Anau,-45.4167,167.7167,50.11,96,97,1.16,NZ,2021-06-13 17:48:10
Poum,-20.2333,164.0167,73.35,77,2,6.26,NC,2021-06-13 17:48:10
Oranjestad,12.524,-70.027,89.55,62,20,25.32,AW,2021-06-13 17:46:56
Hamilton,39.1834,-84.5333,90.75,63,20,3.0,US,2021-06-13 17:48:11
Sokol,59.4617,40.1206,62.4,89,22,3.18,RU,2021-06-13 17:48:11
College,64.8569,-147.8028,63.9,74,75,0.0,US,2021-06-13 17:48:11
Hithadhoo,-0.6,73.0833,82.04,74,94,7.2,MV,2021-06-13 17:48:11
Faanui,-16.4833,-151.75,80.24,78,11,16.78,PF,2021-06-13 17:48:12
Lebu,-37.6167,-73.65,51.17,82,100,15.9,CL,2021-06-13 17:46:44
Upernavik,72.7868,-56.1549,35.89,86,76,2.75,GL,2021-06-13 17:48:13
Chokurdakh,70.6333,147.9167,48.65,75,76,6.69,RU,2021-06-13 17:48:13
Lüderitz,-26.6481,15.1594,63.64,65,31,7.25,NA,2021-06-13 17:47:28
Mayo,38.8876,-76.5119,83.95,73,51,1.01,US,2021-06-13 17:47:46
El Salvador,13.8333,-88.9167,78.84,66,81,1.92,SV,2021-06-13 17:48:14
Kangaatsiaq,68.3065,-53.4641,35.42,87,98,7.18,GL,2021-06-13 17:48:14
Lompoc,34.6391,-120.4579,71.74,86,90,6.91,US,2021-06-13 17:48:14
Beitbridge,-22.2167,30.0,66.76,37,0,7.45,ZW,2021-06-13 17:47:08
Port Elizabeth,-33.918,25.5701,62.89,88,0,26.46,ZA,2021-06-13 17:47:16
Avera,33.194,-82.5271,83.86,62,97,7.92,US,2021-06-13 17:48:15
Hukuntsi,-24.0,21.75,59.74,32,4,4.14,BW,2021-06-13 17:48:15
High Level,58.5169,-117.136,68.11,42,40,6.91,CA,2021-06-13 17:48:15
Winsum,53.33,6.5208,71.22,76,1,6.15,NL,2021-06-13 17:48:16
Lata,40.1629,-8.3327,75.34,71,88,4.56,PT,2021-06-13 17:48:16
Longyearbyen,78.2186,15.6401,33.64,64,75,17.27,SJ,2021-06-13 17:48:16
Bandarbeyla,9.4942,50.8122,79.27,79,94,29.86,SO,2021-06-13 17:48:17
Saint Paul Harbor,57.79,-152.4072,47.71,87,90,3.44,US,2021-06-13 17:48:17
Cidreira,-30.1811,-50.2056,63.99,60,0,6.93,BR,2021-06-13 17:48:17
Nicaea,40.4286,29.7211,73.15,79,11,3.94,TR,2021-06-13 17:48:18
Palmas,-10.2128,-48.3603,91.27,52,40,8.05,BR,2021-06-13 17:47:35
Basco,20.4487,121.9702,84.09,77,55,10.07,PH,2021-06-13 17:48:18
Leningradskiy,69.3833,178.4167,34.5,88,35,11.14,RU,2021-06-13 17:48:19
Anadyr,64.75,177.4833,41.5,80,75,8.01,RU,2021-06-13 17:47:44
São Filipe,14.8961,-24.4956,76.05,82,95,5.06,CV,2021-06-13 17:47:45
Ust-Tsilma,65.441,52.1498,70.07,48,50,7.2,RU,2021-06-13 17:48:19
The Valley,18.217,-63.0578,86.09,74,20,14.97,AI,2021-06-13 17:47:28
Acaraú,-2.8856,-40.12,83.08,70,55,8.72,BR,2021-06-13 17:48:20
Olafsvik,64.8945,-23.7142,43.23,75,100,19.82,IS,2021-06-13 17:48:20
Xichang,27.8964,102.2634,70.56,84,79,1.77,CN,2021-06-13 17:47:24
Vardø,70.3705,31.1107,50.2,71,75,10.36,NO,2021-06-13 17:48:21
Margate,51.3813,1.3862,75.06,74,5,9.35,GB,2021-06-13 17:48:21
George Town,5.4112,100.3354,82.89,86,20,3.0,MY,2021-06-13 17:47:06
Laguna,38.421,-121.4238,85.1,55,1,3.0,US,2021-06-13 17:48:22
Kenai,60.5544,-151.2583,55.49,74,1,11.5,US,2021-06-13 17:48:22
Olinda,-8.0089,-34.8553,80.33,61,20,13.8,BR,2021-06-13 17:46:54
Malindi,-3.2175,40.1191,78.96,73,40,17.27,KE,2021-06-13 17:47:18
Punta Arenas,-53.15,-70.9167,41.11,81,0,20.71,CL,2021-06-13 17:48:22
Fairbanks,64.8378,-147.7164,63.91,73,75,0.0,US,2021-06-13 17:48:23
Aktash,50.3,87.7333,31.03,95,78,3.53,RU,2021-06-13 17:48:24
Aksarka,66.5606,67.7975,69.46,48,86,1.32,RU,2021-06-13 17:48:24
Tiznit Province,29.5833,-9.5,69.21,57,0,8.84,MA,2021-06-13 17:48:24
Ullapool,57.8987,-5.1604,63.95,97,100,10.04,GB,2021-06-13 17:48:24
Alibunan,11.1465,122.4591,75.04,88,95,2.08,PH,2021-06-13 17:48:25
Shubarshi,48.5872,57.1869,72.97,42,97,9.13,KZ,2021-06-13 17:48:25
Padang,-0.9492,100.3543,79.34,82,52,3.11,ID,2021-06-13 17:48:25
Matara,5.9485,80.5353,77.95,88,61,15.32,LK,2021-06-13 17:45:48
Mayumba,-3.432,10.6554,76.87,85,84,5.55,GA,2021-06-13 17:48:26
Mmabatho,-25.85,25.6333,60.76,36,0,6.91,ZA,2021-06-13 17:48:26
Bethel,41.3712,-73.414,81.84,61,90,5.75,US,2021-06-13 17:48:26
Sur,22.5667,59.5289,89.58,62,1,4.81,OM,2021-06-13 17:47:29
Ribeira Grande,38.5167,-28.7,72.0,78,20,8.05,PT,2021-06-13 17:48:27
Coquimbo,-29.9533,-71.3436,58.73,67,20,10.36,CL,2021-06-13 17:48:27
Okha,53.5739,142.9478,39.49,82,100,9.91,RU,2021-06-13 17:48:27
Ayan,56.45,138.1667,44.04,72,23,7.58,RU,2021-06-13 17:48:27
Srednekolymsk,67.45,153.6833,63.23,37,97,5.84,RU,2021-06-13 17:48:28
Tuktoyaktuk,69.4541,-133.0374,37.4,100,75,9.22,CA,2021-06-13 17:48:28
Vanimo,-2.6741,141.3028,77.09,91,71,4.27,PG,2021-06-13 17:48:28
Porbandar,21.6422,69.6093,84.99,79,36,15.99,IN,2021-06-13 17:45:52
Ponta do Sol,32.6667,-17.1,73.13,75,59,5.77,PT,2021-06-13 17:48:28
San Patricio,28.017,-97.5169,91.49,46,20,2.55,US,2021-06-13 17:48:29
Tiksi,71.6872,128.8694,42.33,86,100,4.83,RU,2021-06-13 17:48:29
Kiruna,67.8557,20.2251,49.12,53,20,19.57,SE,2021-06-13 17:48:29
Muravlenko,63.7898,74.523,65.86,63,68,12.3,RU,2021-06-13 17:48:29
Cockburn Town,21.4612,-71.1419,85.96,66,20,14.97,TC,2021-06-13 17:48:30
Tondano,1.3038,124.9112,68.09,89,95,0.45,ID,2021-06-13 17:47:05
Codrington,-38.2667,141.9667,46.42,82,90,6.06,AU,2021-06-13 17:48:30
Saldanha,-33.0117,17.9442,57.25,87,90,5.44,ZA,2021-06-13 17:48:30
Atar,20.5169,-13.0499,108.34,11,62,19.06,MR,2021-06-13 17:48:30
Bengkulu,-3.8004,102.2655,76.87,85,96,6.15,ID,2021-06-13 17:48:31
Esmeralda,21.8525,-78.1169,88.84,57,100,4.79,CU,2021-06-13 17:46:35
Caborca,30.5838,-111.101,94.5,9,23,8.48,MX,2021-06-13 17:48:31
Lachi,33.3833,71.3386,88.34,45,0,12.62,PK,2021-06-13 17:46:46
Touros,-5.1989,-35.4608,86.9,64,72,13.78,BR,2021-06-13 17:48:32
Ambam,2.3833,11.2833,73.35,87,95,3.22,CM,2021-06-13 17:48:32
Brandenburg,52.4167,12.55,69.01,58,29,8.08,DE,2021-06-13 17:48:32
Geraldton,-28.7667,114.6,62.13,77,40,6.91,AU,2021-06-13 17:43:55
Kapiri Mposhi,-13.9652,28.6809,54.81,47,13,5.77,ZM,2021-06-13 17:46:33
Mar del Plata,-38.0023,-57.5575,71.1,75,0,5.01,AR,2021-06-13 17:46:35
Isangel,-19.55,169.2667,73.89,88,12,8.63,VU,2021-06-13 17:48:33
Tieling,42.2931,123.8414,67.73,86,95,0.47,CN,2021-06-13 17:46:50
Pringsewu,-5.3582,104.9744,73.69,97,13,0.72,ID,2021-06-13 17:48:33
Samarai,-10.6167,150.6667,79.77,83,81,8.63,PG,2021-06-13 17:48:34
Emba,48.8264,58.1442,74.12,31,100,11.1,KZ,2021-06-13 17:46:53
Makakilo City,21.3469,-158.0858,73.72,71,90,4.61,US,2021-06-13 17:48:35
Christiansburg,37.1298,-80.4089,82.87,76,40,0.0,US,2021-06-13 17:48:35
Harjavalta,61.3167,22.1333,58.73,58,3,7.85,FI,2021-06-13 17:48:35
Katangli,51.7102,143.2326,40.55,92,100,11.03,RU,2021-06-13 17:48:36
Pangody,65.85,74.4859,66.27,55,79,8.61,RU,2021-06-13 17:48:36
Kudahuvadhoo,2.6708,72.8944,82.74,75,43,12.93,MV,2021-06-13 17:45:03
Trincomalee,8.5711,81.2335,82.06,76,98,23.4,LK,2021-06-13 17:45:47
New Norfolk,-42.7826,147.0587,51.93,90,100,0.47,AU,2021-06-13 17:48:36
Kirakira,-10.4544,161.9205,77.5,80,69,9.4,SB,2021-06-13 17:48:37
Bairiki Village,1.3292,172.9752,80.6,83,40,3.44,KI,2021-06-13 17:48:37
Nerang,-27.9833,153.3333,52.12,95,5,4.07,AU,2021-06-13 17:47:13
Bendigo,-36.7667,144.2833,48.85,64,100,1.36,AU,2021-06-13 17:47:25
Gyenesdiás,46.7706,17.2866,67.98,42,0,14.97,HU,2021-06-13 17:48:38
La Santisima Trinidad,-14.8333,-64.9,78.78,61,20,4.61,BO,2021-06-13 17:46:51
Yambio,4.5721,28.3955,68.18,95,97,5.12,SS,2021-06-13 17:48:38
Motupe,-6.1519,-79.7142,75.42,58,89,4.72,PE,2021-06-13 17:48:38
Megion,61.0296,76.1136,59.02,64,50,6.2,RU,2021-06-13 17:48:39
Tasiilaq,65.6145,-37.6368,37.56,84,100,1.39,GL,2021-06-13 17:48:39
Comodoro Rivadavia,-45.8667,-67.5,51.66,46,0,12.66,AR,2021-06-13 17:46:41
Portland,45.5234,-122.6762,66.81,91,90,1.99,US,2021-06-13 17:48:40
Goderich,43.7501,-81.7165,77.04,77,85,10.36,CA,2021-06-13 17:48:40
Kavaratti,10.5669,72.642,83.44,77,100,23.26,IN,2021-06-13 17:48:40
Beckley,37.7782,-81.1882,84.09,61,75,1.01,US,2021-06-13 17:48:41
Pevek,69.7008,170.3133,40.46,66,58,1.74,RU,2021-06-13 17:48:41
Taikang,46.8333,124.4167,68.41,78,35,8.95,CN,2021-06-13 17:48:41
Ko Samui,9.5357,99.9357,84.31,71,99,16.08,TH,2021-06-13 17:48:41
Shawville,45.6001,-76.4827,77.65,46,61,2.68,CA,2021-06-13 17:48:42
Najrān,17.4924,44.1277,88.45,11,51,4.14,SA,2021-06-13 17:47:29
Teacapan,22.55,-105.75,83.91,71,100,7.09,MX,2021-06-13 17:48:42
Ostrovnoy,68.0531,39.5131,68.43,50,76,18.01,RU,2021-06-13 17:48:42
Zalesovo,53.9939,84.7431,53.47,98,100,3.87,RU,2021-06-13 17:48:43
La Ronge,55.1001,-105.2842,73.62,30,20,8.05,CA,2021-06-13 17:48:43
Puerto Ayacucho,5.6639,-67.6236,84.85,67,59,1.34,VE,2021-06-13 17:48:43
Mae Sai,20.4335,99.8762,76.32,99,100,1.7,TH,2021-06-13 17:48:43
Korla,41.7597,86.1469,68.29,53,87,17.52,CN,2021-06-13 17:48:44
Ban Tak,17.0432,99.0813,71.6,96,100,3.0,TH,2021-06-13 17:47:11
Visby,57.6409,18.296,64.62,52,0,3.44,SE,2021-06-13 17:48:44
Mahajanga,-15.7167,46.3167,78.82,78,40,5.75,MG,2021-06-13 17:48:44
Jatiroto,-7.8833,111.1167,73.47,93,48,1.86,ID,2021-06-13 17:46:34
Ternate,0.8,127.4,79.38,80,99,2.91,ID,2021-06-13 17:47:42
Leer,8.3018,30.1418,74.89,83,64,4.81,SS,2021-06-13 17:48:45
Tabuk,17.4189,121.4443,75.34,89,86,0.56,PH,2021-06-13 17:47:31
Lorengau,-2.0226,147.2712,81.28,80,32,5.88,PG,2021-06-13 17:48:46
Mathathane,-22.2687,28.7495,66.56,31,0,9.62,BW,2021-06-13 17:48:46
Bongor,10.2806,15.3722,89.91,40,100,7.34,TD,2021-06-13 17:46:45
Hofn,64.2539,-15.2082,37.99,96,100,10.94,IS,2021-06-13 17:47:06
Vicuña,-30.0319,-70.7081,82.78,20,0,4.56,CL,2021-06-13 17:48:48
Tamasopo,21.9333,-99.4833,76.33,59,94,5.91,MX,2021-06-13 17:48:48
Lubbock,33.6001,-101.8338,91.38,51,75,9.22,US,2021-06-13 17:48:48
Port Blair,11.6667,92.75,82.63,82,98,20.89,IN,2021-06-13 17:45:52
Eston,51.1501,-108.7514,73.92,30,20,11.25,CA,2021-06-13 17:48:49
Havelock,34.8791,-76.9013,80.98,82,75,3.0,US,2021-06-13 17:47:22
Ahipara,-35.1667,173.1667,61.63,96,92,6.55,NZ,2021-06-13 17:48:49
Emerald,-23.5333,148.1667,64.54,100,40,8.05,AU,2021-06-13 17:48:50
Vila Franca do Campo,37.7167,-25.4333,70.21,71,42,3.47,PT,2021-06-13 17:48:50
Adelaide,-34.9333,138.6,60.42,58,97,1.01,AU,2021-06-13 17:45:12
Kapaa,22.0752,-159.319,75.52,74,75,1.01,US,2021-06-13 17:48:50
Barcelos,41.5388,-8.6151,79.92,68,54,6.64,PT,2021-06-13 17:47:25
Buala,-8.145,159.5921,79.45,83,71,8.37,SB,2021-06-13 17:48:51
Mogok,22.9167,96.5,67.21,99,94,3.56,MM,2021-06-13 17:47:38
Massakory,12.996,15.7293,95.29,31,89,6.2,TD,2021-06-13 17:47:22
Naze,28.3667,129.4833,73.62,89,100,7.96,JP,2021-06-13 17:48:51
Yangi Marg`ilon,40.4272,71.7189,75.92,38,89,6.91,UZ,2021-06-13 17:48:52
Port Hedland,-20.3167,118.5667,64.45,88,27,0.0,AU,2021-06-13 17:48:52
Buraidah,26.326,43.975,97.25,11,0,11.36,SA,2021-06-13 17:45:03
Walvis Bay,-22.9575,14.5053,74.35,23,2,5.75,NA,2021-06-13 17:48:52
Sovetskiy,61.3614,63.5842,66.96,54,44,6.49,RU,2021-06-13 17:48:53
Suntar,62.1444,117.6319,47.73,59,9,4.03,RU,2021-06-13 17:48:53
Roald,62.5833,6.1333,58.12,77,75,18.41,NO,2021-06-13 17:48:53
Kiryat Gat,31.61,34.7642,77.81,100,0,10.58,IL,2021-06-13 17:48:53
Gori,41.9842,44.1158,60.12,84,86,7.99,GE,2021-06-13 17:46:43
Port Lincoln,-34.7333,135.8667,57.56,78,94,10.31,AU,2021-06-13 17:48:54
Rock Springs,41.5875,-109.2029,87.24,19,1,1.01,US,2021-06-13 17:48:54
Salalah,17.0151,54.0924,84.29,84,75,9.22,OM,2021-06-13 17:47:16
Hokitika,-42.7167,170.9667,55.71,92,86,5.99,NZ,2021-06-13 17:48:55
Caetés,-8.7731,-36.6225,78.39,42,82,9.75,BR,2021-06-13 17:48:55
Province of Mantua,45.1667,10.7833,91.72,72,0,13.42,IT,2021-06-13 17:46:42
Wenling,28.3669,121.36,79.88,98,100,1.28,CN,2021-06-13 17:46:43
Arrondissement de Troyes,48.3333,4.0833,79.14,38,0,9.22,FR,2021-06-13 17:48:56
Jeremoabo,-10.075,-38.4808,87.91,36,55,11.3,BR,2021-06-13 17:48:56
Quzhou,28.9594,118.8686,73.81,97,100,1.5,CN,2021-06-13 17:46:39
Port Augusta,-32.5,137.7667,57.34,49,100,4.25,AU,2021-06-13 17:48:57
Rimbey,52.6334,-114.2353,68.52,57,31,11.23,CA,2021-06-13 17:48:57
St. George's,12.0564,-61.7485,85.68,66,40,13.8,GD,2021-06-13 17:44:57
Portsmouth,50.799,-1.0913,77.67,92,11,4.0,GB,2021-06-13 17:46:27
Ushtobe,45.2514,77.9838,58.44,37,0,13.18,KZ,2021-06-13 17:48:58
Challans,46.8436,-1.8749,86.92,46,0,9.53,FR,2021-06-13 17:48:58
São Gabriel da Cachoeira,-0.1303,-67.0892,82.2,74,75,2.3,BR,2021-06-13 17:46:30
Madarounfa,13.3087,7.156,95.23,23,37,0.94,NE,2021-06-13 17:48:58
Muros,42.7762,-9.0603,84.7,67,77,3.38,ES,2021-06-13 17:46:45
Merauke,-8.4667,140.3333,77.92,89,83,11.77,ID,2021-06-13 17:48:59
Yamada,39.4667,141.95,63.73,92,100,2.17,JP,2021-06-13 17:45:06
Liverpool,53.4106,-2.9779,80.55,57,0,3.44,GB,2021-06-13 17:44:00
Santa Maria,-29.6842,-53.8069,69.1,56,0,5.75,BR,2021-06-13 17:47:14
Ilulissat,69.2167,-51.1,37.42,75,90,4.61,GL,2021-06-13 17:48:59
Clyde River,70.4692,-68.5914,34.03,80,90,18.41,CA,2021-06-13 17:49:00
Donskoye,45.4552,41.9741,69.93,81,99,2.68,RU,2021-06-13 17:49:00
Bridlington,54.0831,-0.1919,75.88,83,55,8.03,GB,2021-06-13 17:48:35
Worthington,40.0931,-83.018,88.95,63,20,1.99,US,2021-06-13 17:49:00
Novobirilyussy,56.9514,90.6661,49.46,97,84,8.05,RU,2021-06-13 17:49:01
Chokwé,-24.5333,32.9833,67.35,71,0,4.43,MZ,2021-06-13 17:49:01
Coffs Harbour,-30.3,153.1333,49.14,95,68,0.0,AU,2021-06-13 17:49:01
Linhares,-19.3911,-40.0722,75.67,55,88,10.94,BR,2021-06-13 17:46:41
Rocha,-34.4833,-54.3333,68.63,66,1,8.43,UY,2021-06-13 17:49:02
Rawson,-43.3002,-65.1023,52.77,53,100,13.89,AR,2021-06-13 17:47:03
Peleduy,59.6289,112.7406,52.99,45,100,0.51,RU,2021-06-13 17:49:02
Grand Gaube,-20.0064,57.6608,75.6,76,22,8.99,MU,2021-06-13 17:49:02
George Town,5.4112,100.3354,82.89,86,20,3.0,MY,2021-06-13 17:46:34
Itarema,-2.9248,-39.9167,83.25,67,77,8.97,BR,2021-06-13 17:49:03
Wad Rāwah,15.1603,33.1397,103.37,14,100,5.79,SD,2021-06-13 17:49:03
San Cristobal,7.7669,-72.225,82.58,54,75,7.56,VE,2021-06-13 17:49:03
Palekastro,35.2,26.25,71.69,75,86,6.13,GR,2021-06-13 17:49:04
Beidao,34.5686,105.8933,69.85,90,98,1.52,CN,2021-06-13 17:46:38
Asău,46.4333,26.4,60.4,76,90,2.93,RO,2021-06-13 17:49:04
